TWPHI_00308	bismerthiazol-copper
TWPHI_00309	bisphenylmercury methylenedi(x-naphthalene-y-sulphonate)
TWPHI_00310	bispyribac
TWPHI_00311	bistrifluron
TWPHI_00312	bisultap
TWPHI_00313	bitertanol
TWPHI_00314	bithionol
TWPHI_00315	bixafen
TWPHI_00316	bixlozone
TWPHI_00317	blasticidin-S
TWPHI_00318	borax
TWPHI_00319	Bordeaux mixture
TWPHI_00320	boric acid
TWPHI_00321	boscalid
TWPHI_00322	BPCMS
TWPHI_00323	BPMC
TWPHI_00324	BPPS
TWPHI_00325	brassinolide
TWPHI_00326	brassinolide-ethyl
TWPHI_00327	brevicomin
TWPHI_00328	broclozone
TWPHI_00329	brodifacoum
TWPHI_00330	brofenprox
TWPHI_00331	brofenvalerate
TWPHI_00332	broflanilide
TWPHI_00333	brofluthrinate
TWPHI_00334	bromacil
TWPHI_00335	bromadiolone
TWPHI_00336	bromchlophos
TWPHI_00337	bromethalin
TWPHI_00338	bromethrin
TWPHI_00339	bromfenvinfos
TWPHI_00340	bromoacetamide
TWPHI_00341	bromobonil
TWPHI_00342	bromobutide
TWPHI_00343	bromociclen
TWPHI_00344	bromocyclen
TWPHI_00345	bromo-DDT
TWPHI_00346	bromofenoxim
TWPHI_00347	bromofos
TWPHI_00348	bromomethane
TWPHI_00349	bromophos
TWPHI_00350	bromophos-ethyl
TWPHI_00351	bromopropylate
TWPHI_00352	bromothalonil
TWPHI_00353	brompyrazon
TWPHI_00354	brompyrazone
TWPHI_00355	bromuconazole
TWPHI_00356	bronopol
TWPHI_00357	bropropdifacoum
TWPHI_00358	BRP
TWPHI_00359	BTH
TWPHI_00360	bucarpolate
TWPHI_00361	bufencarb
TWPHI_00362	buminafos
TWPHI_00363	bupirimate
TWPHI_00364	buprofezin
TWPHI_00365	Burgundy mixture
TWPHI_00366	busulfan
TWPHI_00367	busulphan
TWPHI_00368	butacarb
TWPHI_00369	butachlor
TWPHI_00370	butafenacil
TWPHI_00371	butam
TWPHI_00372	butamifos
TWPHI_00373	butane-fipronil
TWPHI_00374	butathiofos
TWPHI_00375	butenachlor
TWPHI_00376	butene-fipronil
TWPHI_00377	butethrin
TWPHI_00378	buthidazole
TWPHI_00379	buthiobate
TWPHI_00380	buthiuron
TWPHI_00381	butifos
TWPHI_00382	butocarboxim
TWPHI_00383	butonate
TWPHI_00384	butopyronoxyl
TWPHI_00385	butoxycarboxim
TWPHI_00386	butralin
TWPHI_00387	butrizol
TWPHI_00388	butroxydim
TWPHI_00389	buturon
TWPHI_00390	butylamine
TWPHI_00391	butylate
TWPHI_00392	butylchlorophos
TWPHI_00393	butylene-fipronil
